title,sector,description,typical_degree,salary_min_inr,salary_max_inr,day_in_the_life,skills,source_url,last_seen
"Agritech Product Manager","Agriculture & Allied Sciences","Leads product strategy for agritech platforms, prioritizes features for farmers and agribusinesses, coordinates between engineering and field teams.","B.Tech in CS; MBA (preferred)",800000,2200000,"Morning: review farmer feedback and telemetry dashboards; Afternoon: roadmap planning and stakeholder calls; Evening: prioritization and analytics review","product management;agritech;analytics;stakeholder management","https://example.com/agriproduct1","2026-08-15"
"Agricultural Data Scientist","Agriculture & Allied Sciences","Builds predictive models for crop yield forecasting and advises on data-driven interventions for improved productivity.","M.Tech;MSc Data Science",600000,1800000,"Data collection from sensors, model training, field validation, meeting agronomists","python;machine learning;statistics;geospatial","https://example.com/agdata1","2026-08-18"
"Farm Manager","Agriculture & Allied Sciences","Oversees daily farm operations, supervises workers, manages crop schedules and logistics.","Diploma in Agriculture;B.Sc Agriculture",200000,700000,"Start early with field inspection, manage staff, coordinate inputs, supervise harvesting","farm management;operations;agronomy;people management","https://example.com/farm1","2026-07-30"
"Architect","Architecture & Design","Designs buildings and coordinates with engineers and clients to deliver functional and aesthetic structures.","B.Arch",600000,3000000,"Client meetings, design reviews, site visits, coordination with consultants","design;autocad;bim;client management","https://example.com/arch1","2026-08-10"
"Interior Designer","Architecture & Design","Creates interior layouts and selects finishes, lighting, and furniture for residential and commercial spaces.","B.Des;Diploma in Interior Design",300000,1500000,"Client consultations, mood board creation, vendor coordination","interior design;space planning;materials;3d visualization","https://example.com/interior1","2026-08-08"
"3D Visualizer","Architecture & Design","Produces photorealistic renders and walkthroughs for architectural presentations.","Diploma;B.Des",250000,1200000,"Modeling scenes, texturing, rendering, producing presentation assets","3d modeling;rendering;v-ray;unreal","https://example.com/3d1","2026-08-07"
"Software Engineer","Information Technology & Computer Science","Develops backend services, APIs, and collaborates on product features and system design.","B.Tech;B.E in Computer Science",600000,2400000,"Code implementation, code reviews, standups, debugging","python;java;apis;databases","https://example.com/se1","2026-08-20"
"Full Stack Developer","Information Technology & Computer Science","Builds end-to-end web applications including frontend UIs and backend services.","B.Tech;B.E in Computer Science",500000,2200000,"Implement UI features, integrate APIs, debug production issues, deploy releases","javascript;react;nodejs;sql","https://example.com/fs1","2026-08-19"
"Data Scientist","Information Technology & Computer Science","Develops machine learning models to extract insights from data and supports product decisions.","M.Tech;M.Sc in Data Science",700000,2600000,"Data cleaning, model building, experimentation, presenting insights","python;machine learning;pandas;mlops","https://example.com/ds1","2026-08-21"
"DevOps Engineer","Information Technology & Computer Science","Builds and maintains CI/CD pipelines and automates infrastructure for reliability.","B.Tech;Diploma in IT",500000,2000000,"Monitoring systems, script automation, deploys, incident response","ci/cd;terraform;kubernetes;monitoring","https://example.com/devops1","2026-08-12"
"Precision Farming Specialist","Agriculture & Allied Sciences","Implements sensor-driven precision farming techniques and advises on variable rate inputs.","B.Sc Agriculture;M.Tech Agri-Engg",300000,1200000,"Field sensor calibration, data analysis, advising farmers","precision farming;iot;data analysis;agronomy","https://example.com/precision1","2026-08-05"
"Drone Pilot (Agriculture)","Agriculture & Allied Sciences","Operates agricultural drones for spraying and mapping and analyzes imagery for insights.","Certification in Drone Operations",200000,900000,"Pre-flight checks, field operations, process imagery, maintenance","drone operations;gis;photogrammetry;field ops","https://example.com/drone1","2026-07-28"
"Machine Learning Engineer","Information Technology & Computer Science","Deploys ML models to production and optimizes inference latency and pipelines.","M.Tech;M.Sc in CS",900000,3000000,"Model optimization, deployment, monitoring, collaborating with data scientists","tensorflow;pytorch;mlops;docker","https://example.com/mle1","2026-08-16"
"Cloud Engineer","Information Technology & Computer Science","Designs cloud-native solutions and manages cloud infrastructure and costs.","B.Tech;Cloud certifications",700000,2800000,"Designing infra, cost optimization, deployments, security reviews","aws;gcp;kubernetes;terraform","https://example.com/cloud1","2026-08-11"
"Landscape Architect","Architecture & Design","Designs outdoor public spaces and coordinates planting and hardscape details.","B.Arch;M.Arch",350000,1400000,"Site surveys, client meetings, planting plans, vendor coordination","landscape design;plants;site planning;cad","https://example.com/land1","2026-08-03"
